[请求时间]: 2026-3-2 09:42:31 | [日志级别]: INFO | [客户端IP]: ::1 | [请求URL]: /api/user/login | [请求方法]: POST | [浏览器]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36  | [Body参数]: {"username":"admin","password":"12345678"} | [自定义内容]: -
[请求时间]: 2026-3-2 09:42:34 | [日志级别]: INFO | [客户端IP]: ::1 | [请求URL]: /api/user/list?page_no=1&page_size=10 | [请求方法]: GET | [浏览器]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36  | [Body参数]: - | [自定义内容]: -
[请求时间]: 2026-3-2 09:42:34 | [日志级别]: INFO | [客户端IP]: ::1 | [请求URL]: /api/user/list?page_no=1&page_size=10 | [请求方法]: GET | [浏览器]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36  | [Body参数]: - | [自定义内容]: -
[请求时间]: 2026-3-2 09:42:38 | [日志级别]: INFO | [客户端IP]: ::1 | [请求URL]: /api/user/detail?id=17 | [请求方法]: GET | [浏览器]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36  | [Body参数]: - | [自定义内容]: -
[请求时间]: 2026-3-2 09:44:03 | [日志级别]: INFO | [客户端IP]: ::1 | [请求URL]: /api/user/list?page_no=2&page_size=10 | [请求方法]: GET | [浏览器]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36  | [Body参数]: - | [自定义内容]: -
[请求时间]: 2026-3-2 09:44:05 | [日志级别]: INFO | [客户端IP]: ::1 | [请求URL]: /api/questionBank/list?page_no=1&page_size=10 | [请求方法]: GET | [浏览器]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36  | [Body参数]: - | [自定义内容]: -
[请求时间]: 2026-3-2 09:44:05 | [日志级别]: INFO | [客户端IP]: ::1 | [请求URL]: /api/questionBank/list?page_no=1&page_size=10 | [请求方法]: GET | [浏览器]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36  | [Body参数]: - | [自定义内容]: -
[请求时间]: 2026-3-2 09:44:24 | [日志级别]: INFO | [客户端IP]: ::1 | [请求URL]: /api/questionBank/list?page_no=1&page_size=10 | [请求方法]: GET | [浏览器]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36  | [Body参数]: - | [自定义内容]: -
[请求时间]: 2026-3-2 09:44:30 | [日志级别]: INFO | [客户端IP]: ::1 | [请求URL]: /api/questionBank/list?page_no=1&page_size=10 | [请求方法]: GET | [浏览器]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36  | [Body参数]: - | [自定义内容]: -
[请求时间]: 2026-3-2 09:49:05 | [日志级别]: INFO | [客户端IP]: ::1 | [请求URL]: /api/questionBank/list?page_no=1&page_size=10 | [请求方法]: GET | [浏览器]: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36  | [Body参数]: - | [自定义内容]: -
[请求时间]: 2026-3-2 09:54:40 | [日志级别]: INFO | [客户端IP]: ::1 | [请求URL]: /api/user/login | [请求方法]: POST | [浏览器]: Apifox/1.0.0 (https://apifox.com)  | [Body参数]: {"username":"admin","password":"12345678"} | [自定义内容]: -
